fips,county,lat,long
36001,Albany County,42.600176751602,-73.97355542101843
36003,Allegany County,42.25740172332472,-78.02758161648094
36005,Bronx County,40.85002315803155,-73.86598287156441
36007,Broome County,42.160249365425855,-75.81961998061949
36009,Cattaraugus County,42.24860036195381,-78.67884765289531
36011,Cayuga County,42.91749800480087,-76.55450638644356
36013,Chautauqua County,42.22816489748384,-79.3663426488305
36015,Chemung County,42.14126252389657,-76.7600395919103
36017,Chenango County,42.493504778848255,-75.61159163840196
36019,Clinton County,44.746182125459335,-73.67816577810787
36021,Columbia County,42.250081064525105,-73.63179678491522
36023,Cortland County,42.595013658231956,-76.0702786039898
36025,Delaware County,42.19806703499144,-74.96646739607938
36027,Dutchess County,41.76514668817286,-73.74286000422686
36029,Erie County,42.7639513902001,-78.7323171924518
36031,Essex County,44.11719120629702,-73.77260404107997
36033,Franklin County,44.59286069917278,-74.30383467142154
36035,Fulton County,43.113834867797365,-74.42216177849555
36037,Genesee County,43.00093172032094,-78.19375273874314
36039,Greene County,42.27651367106724,-74.12272098144103
36041,Hamilton County,43.6611279980196,-74.49737532012566
36043,Herkimer County,43.41970520471288,-74.9625255361898
36045,Jefferson County,44.04944181046502,-75.92097941040156
36047,Kings County,40.63954067007959,-73.93852680016798
36049,Lewis County,43.78465718665335,-75.44884854633635
36051,Livingston County,42.72806293663329,-77.77549402183548
36053,Madison County,42.91276591124755,-75.66964862787577
36055,Monroe County,43.146446382660024,-77.69608946615071
36057,Montgomery County,42.902291807254855,-74.43971570007935
36059,Nassau County,40.7328031634004,-73.58640399624984
36061,New York County,40.778176232908585,-73.96749199548735
36063,Niagara County,43.20006122999729,-78.74524868960145
36065,Oneida County,43.241735857088614,-75.43585109063814
36067,Onondaga County,43.00581355619789,-76.19463474743596
36069,Ontario County,42.85284829036138,-77.29982004123828
36071,Orange County,41.402136704147395,-74.30554480409867
36073,Orleans County,43.25207730983017,-78.2312130736263
36075,Oswego County,43.42692163316699,-76.14136171810435
36077,Otsego County,42.63374626286346,-75.03259882731551
36079,Putnam County,41.42666293531684,-73.74947837022866
36081,Queens County,40.70228385764882,-73.82027034183182
36083,Rensselaer County,42.711078530813616,-73.50971810323966
36085,Richmond County,40.58077351285673,-74.15238558427171
36087,Rockland County,41.15237652277932,-74.0240618425228
36089,St. Lawrence County,44.49639515228461,-75.06908179337911
36091,Saratoga County,43.107379619726174,-73.86389771925573
36093,Schenectady County,42.81812730759885,-74.05857151837759
36095,Schoharie County,42.58821665768087,-74.44211424005411
36097,Schuyler County,42.39380391052364,-76.87517162586481
36099,Seneca County,42.78105352965756,-76.8237825889805
36101,Steuben County,42.26780886058141,-77.3837932352066
36103,Suffolk County,40.86860995612374,-72.8448119688074
36105,Sullivan County,41.71643581499744,-74.76811363148798
36107,Tioga County,42.17033554575083,-76.30634884952822
36109,Tompkins County,42.45202685533814,-76.47363747697769
36111,Ulster County,41.888138805790845,-74.25854439664687
36113,Warren County,43.560966686464894,-73.8460167641418
36115,Washington County,43.31371304888923,-73.43075213952623
36117,Wayne County,43.15663707675523,-77.02937262436087
36119,Westchester County,41.16231784141541,-73.7560605789494
36121,Wyoming County,42.702369271674534,-78.22445826963597
36123,Yates County,42.63344943138025,-77.10546795181085
